customer_id,restaurant_id,dish_name,dish_description,rating,timestamp,cuisine_type,dietary_tags,tip_amount,day_of_week
CUST1029,REST6,Butter Chicken,Creamy tomato curry with grilled chicken,3,2024-04-07 11:15:14,Indian,"['Contains Dairy', 'Spicy']",2.35,Sunday
CUST1022,REST4,Korean Fried Chicken,Double-fried chicken with spicy gochujang glaze,1,2024-04-07 21:34:32,Korean,"['Spicy', 'Contains Gluten']",15.05,Sunday
CUST1015,REST2,Pumpkin Risotto,Creamy risotto with roasted pumpkin and parmesan,4,2024-04-08 14:14:45,Italian,"['Vegetarian', 'Contains Dairy', 'Gluten-Free']",6.58,Monday
CUST1028,REST6,Falafel Wrap,Crispy chickpea balls with tahini in pita bread,4,2024-04-08 19:44:19,Middle Eastern,"['Vegan', 'Contains Gluten']",4.56,Monday
CUST1024,REST6,Miso Ramen,"Noodles in miso broth with pork, egg, and scallions",5,2024-04-09 00:40:36,Japanese,"['Contains Gluten', 'Contains Pork']",0.85,Tuesday
CUST1009,REST8,Tom Yum Goong,Hot and sour Thai soup with prawns and lemongrass,4,2024-04-09 00:49:38,Thai,"['Spicy', 'Seafood', 'Gluten-Free']",0.85,Tuesday
CUST1012,REST5,Spaghetti Carbonara,"Pasta with pancetta, egg yolk, pecorino cheese",4,2024-04-10 08:11:46,Italian,"['Contains Gluten', 'Contains Dairy']",0.3,Wednesday
CUST1014,REST2,Pan-Seared Salmon,Crispy-skinned salmon with asparagus and lemon,3,2024-04-11 14:35:57,Modern Australian,"['Seafood', 'Gluten-Free']",10.06,Thursday
CUST1035,REST4,Prawn Tacos,"Soft shell tacos with grilled prawns, avocado, and salsa",4,2024-04-11 17:33:17,Mexican,"['Seafood', 'Contains Gluten']",4.6,Thursday
CUST1011,REST9,Pumpkin Risotto,Creamy risotto with roasted pumpkin and parmesan,5,2024-04-13 08:29:22,Italian,"['Vegetarian', 'Contains Dairy', 'Gluten-Free']",6.16,Saturday
CUST1041,REST8,Lamb Shawarma,Marinated lamb slices with garlic sauce in flatbread,5,2024-04-13 23:24:45,Middle Eastern,['Contains Gluten'],0.1,Saturday
CUST1009,REST8,Lamb Shawarma,Marinated lamb slices with garlic sauce in flatbread,3,2024-04-14 15:22:37,Middle Eastern,['Contains Gluten'],17.52,Sunday
CUST1035,REST3,Tom Yum Goong,Hot and sour Thai soup with prawns and lemongrass,1,2024-04-16 10:38:47,Thai,"['Spicy', 'Seafood', 'Gluten-Free']",8.93,Tuesday
CUST1000,REST5,Falafel Wrap,Crispy chickpea balls with tahini in pita bread,2,2024-04-17 17:37:41,Middle Eastern,"['Vegan', 'Contains Gluten']",1.19,Wednesday
CUST1005,REST7,Prawn Tacos,"Soft shell tacos with grilled prawns, avocado, and salsa",2,2024-04-18 08:13:25,Mexican,"['Seafood', 'Contains Gluten']",1.0,Thursday
CUST1001,REST7,Korean Fried Chicken,Double-fried chicken with spicy gochujang glaze,4,2024-04-18 17:06:36,Korean,"['Spicy', 'Contains Gluten']",1.01,Thursday
CUST1014,REST7,Spaghetti Carbonara,"Pasta with pancetta, egg yolk, pecorino cheese",1,2024-04-19 20:43:12,Italian,"['Contains Gluten', 'Contains Dairy']",1.81,Friday
CUST1041,REST1,Prawn Tacos,"Soft shell tacos with grilled prawns, avocado, and salsa",4,2024-04-20 04:59:11,Mexican,"['Seafood', 'Contains Gluten']",3.72,Saturday
CUST1039,REST9,Korean Fried Chicken,Double-fried chicken with spicy gochujang glaze,5,2024-04-20 11:02:58,Korean,"['Spicy', 'Contains Gluten']",2.83,Saturday
CUST1029,REST7,Spaghetti Carbonara,"Pasta with pancetta, egg yolk, pecorino cheese",2,2024-04-20 21:42:00,Italian,"['Contains Gluten', 'Contains Dairy']",1.72,Saturday
CUST1023,REST3,Beef Rendang,Slow-cooked spicy beef curry with coconut milk,5,2024-04-21 00:00:44,Indonesian,"['Spicy', 'Gluten-Free']",4.73,Sunday
CUST1037,REST2,Duck à l’Orange,Roast duck with a tangy orange sauce,5,2024-04-22 06:06:28,French,['Contains Gluten'],0.75,Monday
CUST1028,REST4,Vegan Buddha Bowl,"Quinoa, chickpeas, roasted veggies and hummus",3,2024-04-22 07:06:38,Plant-based,"['Vegan', 'Gluten-Free']",1.73,Monday
CUST1002,REST10,Lamb Shawarma,Marinated lamb slices with garlic sauce in flatbread,2,2024-04-22 17:13:14,Middle Eastern,['Contains Gluten'],2.28,Monday
CUST1036,REST7,Butter Chicken,Creamy tomato curry with grilled chicken,1,2024-04-25 00:58:08,Indian,"['Contains Dairy', 'Spicy']",3.04,Thursday
CUST1005,REST9,Falafel Wrap,Crispy chickpea balls with tahini in pita bread,5,2024-04-25 08:04:53,Middle Eastern,"['Vegan', 'Contains Gluten']",7.69,Thursday
CUST1014,REST1,Grilled Halloumi,Char-grilled halloumi with lemon and herbs,4,2024-04-27 04:04:00,Mediterranean,"['Vegetarian', 'Contains Dairy']",1.11,Saturday
CUST1021,REST8,Grilled Halloumi,Char-grilled halloumi with lemon and herbs,2,2024-04-27 10:50:02,Mediterranean,"['Vegetarian', 'Contains Dairy']",3.61,Saturday
CUST1016,REST1,Lamb Shawarma,Marinated lamb slices with garlic sauce in flatbread,1,2024-04-28 02:27:21,Middle Eastern,['Contains Gluten'],4.49,Sunday
CUST1044,REST5,Miso Ramen,"Noodles in miso broth with pork, egg, and scallions",2,2024-04-28 13:50:20,Japanese,"['Contains Gluten', 'Contains Pork']",0.24,Sunday
CUST1038,REST9,Miso Ramen,"Noodles in miso broth with pork, egg, and scallions",1,2024-04-28 14:49:36,Japanese,"['Contains Gluten', 'Contains Pork']",4.68,Sunday
CUST1048,REST4,Butter Chicken,Creamy tomato curry with grilled chicken,4,2024-04-29 03:11:57,Indian,"['Contains Dairy', 'Spicy']",0.93,Monday
CUST1049,REST9,Butter Chicken,Creamy tomato curry with grilled chicken,2,2024-04-29 13:48:53,Indian,"['Contains Dairy', 'Spicy']",0.34,Monday
CUST1028,REST2,Korean Fried Chicken,Double-fried chicken with spicy gochujang glaze,1,2024-04-30 01:19:55,Korean,"['Spicy', 'Contains Gluten']",14.87,Tuesday
CUST1040,REST3,Vegan Buddha Bowl,"Quinoa, chickpeas, roasted veggies and hummus",5,2024-04-30 15:27:24,Plant-based,"['Vegan', 'Gluten-Free']",16.85,Tuesday
CUST1031,REST8,Grilled Halloumi,Char-grilled halloumi with lemon and herbs,4,2024-05-01 20:48:25,Mediterranean,"['Vegetarian', 'Contains Dairy']",8.26,Wednesday
CUST1006,REST2,Vegan Buddha Bowl,"Quinoa, chickpeas, roasted veggies and hummus",3,2024-05-03 09:23:31,Plant-based,"['Vegan', 'Gluten-Free']",1.82,Friday
CUST1047,REST9,Spaghetti Carbonara,"Pasta with pancetta, egg yolk, pecorino cheese",3,2024-05-03 16:16:42,Italian,"['Contains Gluten', 'Contains Dairy']",0.51,Friday
CUST1005,REST6,Pumpkin Risotto,Creamy risotto with roasted pumpkin and parmesan,3,2024-05-04 04:42:45,Italian,"['Vegetarian', 'Contains Dairy', 'Gluten-Free']",5.76,Saturday
CUST1016,REST9,Prawn Tacos,"Soft shell tacos with grilled prawns, avocado, and salsa",4,2024-05-04 09:40:08,Mexican,"['Seafood', 'Contains Gluten']",2.9,Saturday
CUST1027,REST6,Tom Yum Goong,Hot and sour Thai soup with prawns and lemongrass,5,2024-05-05 09:00:35,Thai,"['Spicy', 'Seafood', 'Gluten-Free']",0.65,Sunday
CUST1035,REST10,Beef Rendang,Slow-cooked spicy beef curry with coconut milk,5,2024-05-05 10:03:08,Indonesian,"['Spicy', 'Gluten-Free']",3.42,Sunday
CUST1015,REST2,Duck à l’Orange,Roast duck with a tangy orange sauce,5,2024-05-05 15:56:00,French,['Contains Gluten'],0.17,Sunday
CUST1020,REST7,Korean Fried Chicken,Double-fried chicken with spicy gochujang glaze,3,2024-05-06 11:21:55,Korean,"['Spicy', 'Contains Gluten']",12.0,Monday
CUST1007,REST1,Pulled Pork Burger,Slow-cooked pork with BBQ sauce in a brioche bun,4,2024-05-07 06:19:46,American,"['Contains Gluten', 'Contains Pork']",1.5,Tuesday
CUST1004,REST8,Pumpkin Risotto,Creamy risotto with roasted pumpkin and parmesan,3,2024-05-07 14:33:24,Italian,"['Vegetarian', 'Contains Dairy', 'Gluten-Free']",5.43,Tuesday
CUST1032,REST10,Korean Fried Chicken,Double-fried chicken with spicy gochujang glaze,1,2024-05-09 15:19:17,Korean,"['Spicy', 'Contains Gluten']",1.87,Thursday
CUST1037,REST7,Eggplant Parmigiana,Baked eggplant with tomato sauce and mozzarella,1,2024-05-10 09:21:51,Italian,"['Vegetarian', 'Contains Dairy', 'Contains Gluten']",3.67,Friday
CUST1033,REST5,Tom Yum Goong,Hot and sour Thai soup with prawns and lemongrass,4,2024-05-11 04:23:55,Thai,"['Spicy', 'Seafood', 'Gluten-Free']",3.96,Saturday
CUST1040,REST10,Duck à l’Orange,Roast duck with a tangy orange sauce,1,2024-05-12 04:56:42,French,['Contains Gluten'],1.02,Sunday
CUST1004,REST4,Pan-Seared Salmon,Crispy-skinned salmon with asparagus and lemon,1,2024-05-12 05:25:08,Modern Australian,"['Seafood', 'Gluten-Free']",17.46,Sunday
CUST1018,REST6,Prawn Tacos,"Soft shell tacos with grilled prawns, avocado, and salsa",1,2024-05-12 19:51:21,Mexican,"['Seafood', 'Contains Gluten']",7.46,Sunday
