customer_id,restaurant_id,dish_name,dish_description,cuisine_type,dietary_tags,rating,tip_amount,timestamp,day_of_week
CUST1036,REST2,Jackfruit Tacos,Vegan tacos with pulled jackfruit and avocado salsa,Vegan Fusion,"['Vegan', 'Gluten-Free']",1,5.51,2025-04-07 11:19:01,Sunday
CUST1019,REST4,Labneh Flatbread,"Crispy flatbread topped with labneh, za'atar and herbs",Middle Eastern,"['Vegetarian', 'Contains Gluten']",3,4.01,2025-04-07 11:19:02,Saturday
CUST1038,REST9,Truffle Cauliflower Steak,Roasted cauliflower steak with truffle oil and tahini drizzle,Modern Australian,"['Vegan', 'Gluten-Free']",4,1.6,2025-04-07 11:19:03,Friday
CUST1035,REST5,Yuzu Ceviche,Fresh fish cured in yuzu juice with radish and coriander,Japanese-Peruvian,"['Seafood', 'Gluten-Free']",1,17.52,2025-04-07 11:19:03,Monday
CUST1039,REST4,Yuzu Ceviche,Fresh fish cured in yuzu juice with radish and coriander,Japanese-Peruvian,"['Seafood', 'Gluten-Free']",2,0.75,2025-04-07 11:19:05,Monday
CUST1003,REST2,Truffle Cauliflower Steak,Roasted cauliflower steak with truffle oil and tahini drizzle,Modern Australian,"['Vegan', 'Gluten-Free']",4,0.07,2025-04-07 11:19:07,Wednesday
CUST1015,REST1,Yuzu Ceviche,Fresh fish cured in yuzu juice with radish and coriander,Japanese-Peruvian,"['Seafood', 'Gluten-Free']",3,1.99,2025-04-07 11:19:12,Tuesday
CUST1006,REST6,Labneh Flatbread,"Crispy flatbread topped with labneh, za'atar and herbs",Middle Eastern,"['Vegetarian', 'Contains Gluten']",2,8.64,2025-04-07 11:19:15,Sunday
CUST1044,REST2,Labneh Flatbread,"Crispy flatbread topped with labneh, za'atar and herbs",Middle Eastern,"['Vegetarian', 'Contains Gluten']",2,1.3,2025-04-07 11:19:17,Wednesday
CUST1022,REST1,Labneh Flatbread,"Crispy flatbread topped with labneh, za'atar and herbs",Middle Eastern,"['Vegetarian', 'Contains Gluten']",1,2.36,2025-04-07 11:19:21,Friday
